"id","name","deprecated","removed","category","tags","resources","web"
"konstant.no","KONSTANT DNSBL",false,false,"blacklist","spam","ip4","http://bl.konstant.no/"
"korea.services.net","South Korean Network Blocking List",false,false,"blacklist","spam","ip4","http://korea.services.net/"
"leadmon.net","Leadmon.Net's SpamGuard Listings (LNSG)",false,false,"blacklist","spam","ip4","http://www.leadmon.net/spamguard/"
"lugh.ch","lugh.ch DNSBL",false,false,"blacklist","spam","ip4","https://lugh.ch/dnsbl.html"
"madavi.de","Madavi:BL",false,false,"blacklist","spam","ip4","https://www.madavi.de/madavibl/"
"mailspike.net-bl","Mailspike Blacklist",false,false,"blacklist","spam","ip4","http://mailspike.org/"
"mailspike.net-rep","Mailspike Reputation",false,false,"mixedlist","spam","ip4","http://mailspike.org/"
"mailspike.net-wl","Mailspike Whitelist",false,false,"whitelist","spam","ip4","http://mailspike.org/"
"mailspike.net-zero","Mailspike Zero-hour Data",false,false,"blacklist","spam","ip4","http://mailspike.org/"
"manitu.net","NiX Spam DNSBL",false,false,"blacklist","spam","ip4","http://www.dnsbl.manitu.net/"
"mcafee.com","McAfee RBL",false,false,"blacklist","spam","ip4","https://kc.mcafee.com/corporate/index?page=content&id=KB53783"
"megarbl.net","MegaRBL.net",false,false,"blacklist","spam","ip4","https://www.megarbl.net/"
"msrbl.net-combined","MSRBL combined",false,false,"blacklist","spam;phising;malware","ip4","http://www.msrbl.com/"
"msrbl.net-images","MSRBL images",false,false,"blacklist","spam","ip4","http://www.msrbl.com/"
"msrbl.net-phishing","MSRBL phishing",false,false,"blacklist","phising","ip4","http://www.msrbl.com/"
"msrbl.net-spam","MSRBL spam",false,false,"blacklist","spam","ip4","http://www.msrbl.com/"
"msrbl.net-virus","MSRBL virus",false,false,"blacklist","malware","ip4","http://www.msrbl.com/"
"msrbl.net-web","MSRBL web",false,false,"blacklist","spam","ip4","http://www.msrbl.com/"
"nordspam.com-domain","NordSpam Domain Blacklist",false,false,"blacklist","spam","domain","https://www.nordspam.com/"
"nordspam.com-ip","NordSpam IP Blacklist",false,false,"blacklist","spam","ip4;ip6","https://www.nordspam.com/"
"pedantic.org","Pedantic.org spam",false,false,"blacklist","spam","ip4","http://www.pedantic.org/"
"pofon.foobar.hu-ispmx","pofon.foobar.hu ISP mail relay whitelist",false,false,"whitelist","spam","ip4;ip6","https://rbl.foobar.hu/"
"pofon.foobar.hu","pofon.foobar.hu IP Blacklist",false,false,"blacklist","spam","ip4;ip6","https://rbl.foobar.hu/"
"pofon.foobar.hu-uribl","pofon.foobar.hu URI Blacklist",false,false,"blacklist","spam","domain","https://rbl.foobar.hu/"
"psky.me","Protected SKY",false,false,"blacklist","spam","ip4","http://www.psky.me/"
"pte.hu","SINGULARis Spam/scam blocklist",false,false,"blacklist","spam","ip4","http://singular.ttk.pte.hu/en/"
"realtimeblacklist.com","realtimeBLACKLIST.COM",false,false,"blacklist","spam","ip4","https://realtimeblacklist.com/"
"redhawk.org","Redhawk.org",false,false,"blacklist","spam","ip4","https://www.redhawk.org/"
"rfc-clueless.org-abuse","RFC-Clueless (RFC2) abuse RBL",false,false,"blacklist","compliance","domain","http://rfc-clueless.org/"
"rfc-clueless.org-bogusmx","RFC-Clueless (RFC2) BogusMX RBL",false,false,"blacklist","compliance","domain","http://rfc-clueless.org/"
"rfc-clueless.org-dsn","RFC-Clueless (RFC2) DSN RBL",false,false,"blacklist","compliance","domain","http://rfc-clueless.org/"
"rfc-clueless.org-elitist","RFC-Clueless (RFC2) Elitist RBL",false,false,"blacklist","compliance","domain","http://rfc-clueless.org/pages/listing_policy-elitist"
"rfc-clueless.org-fulldom","RFC-Clueless (RFC2) Metalist RBL",false,false,"blacklist","compliance","domain","http://rfc-clueless.org/"
"rfc-clueless.org-postmaster","RFC-Clueless (RFC2) postmaster RBL",false,false,"blacklist","compliance","domain","http://rfc-clueless.org/"
"rfc-clueless.org-whois","RFC-Clueless (RFC2) whois RBL",false,false,"blacklist","compliance","domain","http://rfc-clueless.org/"
"rymsho.ru-domain","Rymsho's RHSBL",false,false,"blacklist","spam","domain","http://spam.rymsho.ru/"
"rymsho.ru-ip","Rymsho's DNSBL",false,false,"blacklist","spam","ip4","http://spam.rymsho.ru/"
"s5h.net","s5h.net RBL",false,false,"blacklist","spam","ip4;ip6","http://www.usenix.org.uk/wiki/RBL"
"sarbl.org","SARBL",false,false,"blacklist","spam","domain","https://www.sarbl.org/Main"
"schulte.org","rbl.schulte.org",false,false,"blacklist","spam","ip4","http://rbl.schulte.org/"
"scientificspam.net-domain","scientificspam.net Domain list",false,false,"blacklist","spam","domain","http://www.scientificspam.net/"
"scientificspam.net-ip","scientificspam.net IP list",false,false,"blacklist","spam","ip4","http://www.scientificspam.net/"
"scrolloutf1.com-domain","Scrollout F1 Reputation Domain",false,false,"mixedlist","spam","domain","http://www.scrolloutf1.com/rbl"
"scrolloutf1.com-ip","Scrollout F1 Reputation IP",false,false,"mixedlist","spam","ip4","http://www.scrolloutf1.com/rbl"
"scrolloutf1.com-ns","Scrollout F1 Reputation NS",false,false,"mixedlist","spam","domain","http://www.scrolloutf1.com/rbl"
"senderscore.com","SenderScore Blacklist",false,false,"blacklist","spam","ip4","http://www.senderscore.org/"
"sorbs.net-aspews","ASPEWS Listings",false,false,"blacklist","spam","ip4","http://www.aspews.org/"
"sorbs.net-block","SORBS Hosts demanding never be tested by SORBS",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-dul","SORBS Dynamic IP Addresses",false,false,"blacklist","dynamic","ip4","http://www.sorbs.net/"
"sorbs.net-escalations","SORBS netblocks of spam supporting service providers",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-http","SORBS Open HTTP Proxies",false,false,"blacklist","openproxy","ip4","http://www.sorbs.net/"
"sorbs.net","SORBS Aggregate zone",false,false,"blacklist","spam;openproxy;exploit","ip4","http://www.sorbs.net/"
"sorbs.net-misc","SORBS Open other Proxies",false,false,"blacklist","openproxy","ip4","http://www.sorbs.net/"
"sorbs.net-new","SORBS Spamhost (last 48 hours)",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-old","SORBS Spamhost (last year)",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-problems","SORBS Aggregate zone (problems)",false,false,"blacklist","spam;openproxy;exploit","ip4","http://www.sorbs.net/"
"sorbs.net-proxies","SORBS Aggregate zone (proxies)",false,false,"blacklist","openproxy","ip4","http://www.sorbs.net/"
"sorbs.net-recent","SORBS Spamhost (last 28 days)",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-relays","SORBS Aggregate zone (relays)",false,false,"blacklist","openproxy","ip4","http://www.sorbs.net/"
"sorbs.net-safe","SORBS Aggregate zone (safe)",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-smtp","SORBS Open SMTP relays",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-socks","SORBS Open SOCKS Proxies",false,false,"blacklist","openproxy","ip4","http://www.sorbs.net/"
"sorbs.net-spam","SORBS Spamhost (any time)",false,false,"blacklist","spam","ip4","http://www.sorbs.net/"
"sorbs.net-spewsl1","SPEWS Level one listings",false,false,"blacklist","spam","ip4","http://www.sorbs.net/general/using.shtml"
"sorbs.net-spewsl2","SPEWS Level two listings",false,false,"blacklist","spam","ip4","http://www.sorbs.net/general/using.shtml"
"sorbs.net-web","SORBS Vulnerable formmailers",false,false,"blacklist","openproxy","ip4","http://www.sorbs.net/"
"sorbs.net-zombie","SORBS hijacked networks",false,false,"blacklist","exploit","ip4","http://www.sorbs.net/"
"spamcop.net","SpamCop Blocking List",false,false,"blacklist","spam","ip4","http://spamcop.net/bl.shtml"
"spamdown.org","Spamdown RBL spam emails in Persian",false,false,"blacklist","spam","ip4","https://www.spamdown.org/"
"spameatingmonkey.net-backscatter","Spam Eating Monkey SEM-BACKSCATTER",false,false,"blacklist","spam","ip4","http://spameatingmonkey.com/"
"spameatingmonkey.net-fresh10","Spam Eating Monkey SEM-FRESH10",false,false,"blacklist","fresh","domain","http://spameatingmonkey.com/"
"spameatingmonkey.net-fresh15","Spam Eating Monkey SEM-FRESH15",false,false,"blacklist","fresh","domain","http://spameatingmonkey.com/"
"spameatingmonkey.net-fresh30","Spam Eating Monkey SEM-FRESH30",false,false,"blacklist","fresh","domain","http://spameatingmonkey.com/"
"spameatingmonkey.net-fresh","Spam Eating Monkey SEM-FRESH",false,false,"blacklist","fresh","domain","http://spameatingmonkey.com/"
"spameatingmonkey.net-freshzero","Spam Eating Monkey SEM-FRESHZERO",false,false,"blacklist","fresh","domain","http://spameatingmonkey.com/"
"spameatingmonkey.net-ip6","Spam Eating Monkey SEM-IPV6BL",false,false,"blacklist","spam","ip6","http://spameatingmonkey.com/"
"spameatingmonkey.net","Spam Eating Monkey SEM-BLACK",false,false,"blacklist","spam","ip4","http://spameatingmonkey.com/"
"spameatingmonkey.net-netbl","Spam Eating Monkey SEM-NETBLACK",false,false,"blacklist","spam","ip4","http://spameatingmonkey.com/"
"spameatingmonkey.net-originasn","Spam Eating Monkey SEM-ASN-ORIGIN",false,false,"infolist","info","ip4","http://spameatingmonkey.com/"
"spameatingmonkey.net-uri","Spam Eating Monkey SEM-URI",false,false,"blacklist","spam","domain","http://spameatingmonkey.com/"
"spameatingmonkey.net-urired","Spam Eating Monkey SEM-URIRED",false,false,"blacklist","spam","domain","http://spameatingmonkey.com/"
"spamgrouper.to","Spam Grouper Net block list",false,false,"blacklist","spam","ip4","http://www.spamgrouper.to/"
"spamhaus.org-dbl","Spamhaus DBL Domain Block List",false,false,"blacklist","spam","domain","http://www.spamhaus.org/dbl/"
"spamhaus.org-dwl","Spamhaus DWL Domain Whitelist",false,false,"whitelist","spam","domain","http://www.spamhauswhitelist.com/"
"spamhaus.org-pbl","Spamhaus PBL Policy Block List",false,false,"blacklist","non-mta","ip4","http://www.spamhaus.org/pbl/"
"spamhaus.org-sbl","Spamhaus SBL Spamhaus Block List",false,false,"blacklist","spam","ip4","http://www.spamhaus.org/sbl/"
"spamhaus.org-sbl-xbl","Spamhaus SBL-XBL Combined Block List",false,false,"blacklist","spam;malware","ip4","http://www.spamhaus.org/"
"spamhaus.org-swl","Spamhaus SWL IP Whitelist",false,false,"whitelist","spam","ip4;ip6","http://www.spamhauswhitelist.com/"
"spamhaus.org-xbl","Spamhaus XBL Exploits Block List",false,false,"blacklist","malware","ip4","http://www.spamhaus.org/xbl/"
"spamhaus.org-zen","Spamhaus ZEN Combined Block List",false,false,"blacklist","spam;openproxy;malware;non-mta","ip4","http://www.spamhaus.org/zen/"
"spamrats.com-all","SpamRATS! all",false,false,"blacklist","residential;spam;noptr;bruteforce","ip4","http://www.spamrats.com/"
"spamrats.com-auth","SpamRATS! all",false,false,"blacklist","bruteforce","ip4","http://www.spamrats.com/"
"spamrats.com-dyna","SpamRATS! Dyna",false,false,"blacklist","residential","ip4","http://www.spamrats.com/rats-dyna.php"
"spamrats.com-noptr","SpamRATS! NoPtr",false,false,"blacklist","noptr","ip4","http://www.spamrats.com/rats-noptr.php"
"spamrats.com-spam","SpamRATS! Spam",false,false,"blacklist","spam","ip4","http://www.spamrats.com/rats-spam.php"
"spfbl.net-bl","SPFBL.net RBL",false,false,"blacklist","spam","ip4;ip6;domain","http://spfbl.net/en/dnsbl/"
"spfbl.net-wl","SPFBL.net Whitelist",false,false,"whitelist","spam","ip4;ip6;domain","http://spfbl.net/en/dnswl/"
"stopspam.org-badhost","StopSpam.org badhost",false,false,"blacklist","noptr","ip4","http://www.stopspam.org/rblcheck/index.php"
"stopspam.org-block","StopSpam.org block",false,false,"blacklist","spam","ip4","http://www.stopspam.org/rblcheck/index.php"
"stopspam.org-dul","StopSpam.org dynamic",false,false,"blacklist","dynamic","ip4","http://www.stopspam.org/rblcheck/index.php"
"suomispam.net-domain","Suomispam Domain Blacklist",false,false,"blacklist","spam","domain","http://suomispam.net/"
"suomispam.net-ip","Suomispam Blacklist",false,false,"blacklist","spam","ip4","http://suomispam.net/"
"support-intelligence.net-dob","The Day Old Bread List (aka DOB)",false,false,"blacklist","fresh","domain","http://support-intelligence.com/dob/"
"surbl.org","SURBL URI Reputation Data",false,false,"blacklist","spam","ip4;domain","http://www.surbl.org/"
"surgate.net-srnblack","SurGATE Reputation Network Blacklist",false,false,"mixedlist","spam","ip4","http://www.srntools.com/"
"surgate.net-srn","SurGATE Reputation Network",false,false,"mixedlist","spam","ip4","http://www.srntools.com/"
"surriel.com-psbl","PSBL (Passive Spam Block List)",false,false,"blacklist","spam","ip4","https://psbl.org/"
"surriel.com-whitelist","PSBL whitelist",false,false,"whitelist","spam","ip4","http://www.dnswl.org/"
"swinog.ch-domain","Swiss Network Operators Group URIBL",false,false,"blacklist","spam","domain","https://www.swinog.ch"
"swinog.ch-ip","Swiss Network Operators Group DNSRBL",false,false,"blacklist","spam","ip4","https://www.swinog.ch"
"technovision.dk","TechnoVision SpamTrap",false,false,"blacklist","spam","ip4","http://st.technovision.dk/"
"triumf.ca","TRIUMF.ca DNSBL",false,false,"blacklist","spam","ip4","http://rbl2.triumf.ca/"
"tuxad.de-dunk","tuxad dunk.dnsbl",false,false,"blacklist","spam","ip4","http://www.tuxad.de/hartkore.html"
"uceprotect.net-level0","UCEPROTECT Level 0",false,false,"blacklist","spam","ip4","http://www.uceprotect.net/"
"uceprotect.net-level1","UCEPROTECT Level 1",false,false,"blacklist","spam","ip4","http://www.uceprotect.net/en/index.php?m=3&s=3"
"uceprotect.net-level2","UCEPROTECT Level 2",false,false,"blacklist","spam","ip4","http://www.uceprotect.net/en/index.php?m=3&s=4"
"uceprotect.net-level3","UCEPROTECT Level 3",false,false,"blacklist","spam","ip4","http://www.uceprotect.net/en/index.php?m=3&s=5"
"unsubscore.com-ubl","Unsubscribe Blacklist UBL",false,false,"blacklist","spam","ip4","http://blacklist.lashback.com/"
"uribl.com-black","URIBL black",false,false,"blacklist","spam","domain","http://www.uribl.com/"
"uribl.com-grey","URIBL grey",false,false,"blacklist","spam","domain","http://www.uribl.com/"
"uribl.com-multi","URIBL multi",false,false,"mixedlist","spam","domain","http://www.uribl.com/"
"uribl.com-red","URIBL red",false,false,"mixedlist","spam","domain","http://www.uribl.com/"
"uribl.com-white","URIBL white",false,false,"whitelist","spam","domain","http://www.uribl.com/"
"v4bl.org-free","V4BL-FREE/DDNSBL-FREE",false,false,"blacklist","spam","ip4","http://v4bl.org/"
"v4bl.org-ip","V4BL/DDNSBL",false,false,"blacklist","spam","ip4","http://v4bl.org/"
"whitelisted.org","Whitelisted.org",false,false,"whitelist","spam","ip4","http://www.whitelisted.org/"
"woody.ch-domain","Woody's SMTP Blacklist URIBL",false,false,"blacklist","spam","domain","http://blacklist.woody.ch/rblcheck.php3"
"woody.ch-ip4","Woody's SMTP Blacklist IPv4",false,false,"blacklist","spam","ip4","http://blacklist.woody.ch/rblcheck.php3"
"woody.ch-ip6","Woody's SMTP Blacklist IPv6",false,false,"blacklist","spam","ip6","http://blacklist.woody.ch/rblcheck.php3"
"wpbl.info","WPBL - Weighted Private Block List",false,false,"blacklist","spam","ip4","http://www.wpbl.info/"
"zapbl.net-domain","ZapBL RHSBL",false,false,"blacklist","spam","domain","http://zapbl.net/"
"zapbl.net-ip","ZapBL DNSRBL",false,false,"blacklist","spam","ip4","http://zapbl.net/"
